date,lithium,nickel,platinum,cobalt,copper,cobalt_norm,Copper_pink,Platinum_pink,Nickel_pink
2009-08-01,,19375.925,1244.571428571429,35064.367816092,6176.875,77303698.44335644,6165.3,1244.57,19641.75
2009-09-01,,17404.63636363636,1288.704545454545,35726.74076185047,6195.75,78763980.82245159,6196.432,1288.7,17473.182
2009-10-01,,18489.47727272727,1332.772727272727,32312.20822646528,6305.988636363636,71236225.15821545,6287.977,1332.77,18525.227
2009-11-01,,16911.33333333333,1400.619047619048,37960.59352142108,6682.440476190476,83688783.14595036,6675.595,1400.62,16991.19
2009-12-01,,17121.61904761905,1437.478260869565,37856.0537912862,6976.97619047619,83458312.49220632,6981.714,1437.48,17066.429
2010-01-01,,18405.55,1557.904761904762,40702.42324725084,7367.375,89733482.97970305,7386.25,1557.9,18439.25
2010-02-01,,19060.55,1520.35,41508.01462904912,6867.675,91509507.9624926,6848.175,1520.35,18976.0
2010-03-01,,22467.17391304348,1599.434782608696,37414.13584117035,7466.934782608696,82484050.18319687,7462.826,1599.43,22461.304
2010-04-01,,26028.5,1710.5,42039.98290111145,7729.8375,92682297.24820353,7745.075,1710.5,26030.75
2010-05-01,,21930.0,1624.857142857143,40474.34561128526,6843.157894736842,89230657.8643372,6837.684,1624.86,22008.158
2010-06-01,,19411.29545454545,1553.227272727273,38947.72727272727,6501.5,85865040.54304546,6499.295,1553.23,19388.636
2010-07-01,,19548.52272727273,1525.590909090909,38062.5,6750.568181818182,83913448.47375001,6735.25,1525.59,19517.5
2010-08-01,,21448.78571428571,1540.590909090909,38464.7619047619,7302.666666666667,84800284.16815238,7283.952,1540.59,21413.333
2010-09-01,,22690.13636363636,1591.75,41186.36363636364,7729.590909090909,90800388.90827274,7709.295,1591.75,22643.409
2010-10-01,,23793.67857142857,1688.690476190476,38897.61904761905,8289.761904761905,85754570.81652382,8292.405,1688.69,23807.381
2010-11-01,,22836.22727272727,1692.772727272727,37104.77272727273,8458.420454545456,81802021.26450455,8469.886,1692.77,22909.318
2010-12-01,,24099.57142857143,1711.391304347826,37616.66666666667,9152.857142857143,82930554.22233334,9147.262,1711.39,24111.19
2011-01-01,,25621.225,1785.428571428571,39212.5,9533.2,86448764.48675,9555.7,1785.43,25646.25
2011-02-01,,28412.175,1825.9,39777.75,9880.9375,87694927.42270501,9867.6,1825.9,28252.25
2011-03-01,,26710.34782608696,1770.173913043478,38264.13043478261,9503.358695652174,84357967.49115218,9503.36,1770.17,26710.35
2011-04-01,,26332.16666666667,1797.904761904762,37023.61111111111,9482.75,81623090.52963889,9492.79,1797.9,26408.33
2011-05-01,,24164.55,1786.545454545455,38157.5,8931.675,84122887.62265,8959.9,1786.55,24236.73
2011-06-01,,22420.93181818182,1768.5,36019.31818181818,9066.852272727272,79409003.62061363,9066.85,1768.5,22420.93
2011-07-01,,23847.95238095238,1759.761904761905,35113.09523809524,9650.464285714286,77411124.02011904,9650.46,1759.76,23847.95
2011-08-01,,21864.68181818182,1804.695652173913,35931.36363636364,8997.988636363636,79215097.04017274,9000.76,1804.7,21845.09
2011-09-01,,20377.59090909091,1748.113636363636,34529.54545454545,8300.136363636364,76124616.96740907,8300.14,1748.11,20377.59
2011-10-01,,19039.04761904762,1535.190476190476,30607.19047619048,7394.190476190476,67477304.45845811,7394.19,1535.19,19039.05
2011-11-01,,17873.0,1596.977272727273,28690.90909090909,7581.022727272727,63252627.17018182,7581.02,1596.98,17873.0
