date,lithium,nickel,platinum,cobalt,copper
2012-07-01,63568.83181793182,16128.40909090909,1425.818181818182,28394.07954545455,7584.261363636364
2012-08-01,63682.97770550009,15703.98863636364,1453.260869565217,29050.36363636364,7510.431818181818
2012-09-01,64069.57020512695,17287.9625,1623.65,29221.25,8087.7425
2012-10-01,64650.80208309504,17168.73913043478,1635.826086956522,26896.73913043478,8062.032608695652
2012-11-01,64970.67068237064,16335.36363636364,1576.363636363636,23563.40909090909,7711.227272727273
2012-12-01,64966.88593049752,17448.5,1579.904761904762,23976.0,7966.486842105263
2013-01-01,65091.61180381326,17494.06818181818,1638.891304347826,25518.09090909091,8053.738636363636
2013-02-01,64976.62540666475,17690.1,1674.55,25441.325,8060.925
2013-03-01,65155.51269425376,16731.7,1582.952380952381,25316.975,7652.375
2013-04-01,65464.67141115809,15629.30952380952,1493.068181818182,26209.45238095238,7221.161904761905
2013-05-01,65950.2012685351,14948.22619047619,1475.173913043478,27984.38095238095,7248.714285714286
2013-06-01,66020.6709760695,14280.275,1430.225,30047.5375,7000.2375
2013-07-01,66023.44333103017,13750.3152173913,1401.478260869565,29290.04347826087,6906.641304347826
2013-08-01,66157.08673385964,14308.2619047619,1496.090909090909,26803.42857142857,7186.25
2013-09-01,66172.35332436905,13801.39285714286,1456.857142857143,28680.42857142857,7159.269047619048
2013-10-01,66349.80294230478,14117.65217391304,1413.478260869565,27037.95652173913,7203.021739130435
2013-11-01,66467.28749175138,13684.0119047619,1420.095238095238,26172.47619047619,7070.654761904762
2013-12-01,66673.81818459182,13924.55,1355.0,26587.775,7214.9
2014-01-01,66925.97396344891,14101.25,1420.304347826087,28134.56818181818,7291.465909090909
2014-02-01,66601.1971131601,14203.55,1410.5,31081.85,7149.2125
2014-03-01,65609.67415863957,15678.09523809524,1451.619047619048,30699.42857142857,6650.035714285714
2014-04-01,62763.45206152614,17373.6,1432.0,29771.85,6673.5625
2014-05-01,62513.26777269941,19401.075,1456.204545454545,29993.225,6891.125
2014-06-01,62586.78725218371,18628.80952380952,1452.761904761905,30458.59523809524,6821.142857142857
2014-07-01,62910.21247075713,19117.65217391304,1492.652173913043,31697.19565217391,7113.380434782609
2014-08-01,63367.33947414548,18600.2,1446.333333333333,32341.5565,7001.8375
2014-09-01,63527.23188765873,18034.79545454545,1362.363636363636,32350.73863636364,6872.215909090909
2014-10-01,63666.21034636748,15812.36956521739,1259.760869565217,31142.42391304348,6737.478260869565
2014-11-01,63660.2571965017,15807.05,1208.85,30752.1375,6712.85
2014-12-01,62990.88620867148,15962.04761904762,1212.347826086957,30945.21428571429,6446.452380952381
2015-01-01,62721.332383483,14849.19047619048,1241.772727272727,30749.47619047619,5830.535714285714
2015-02-01,62376.58007806205,14573.8375,1197.6,29155.375,5729.275
2015-03-01,62504.8522794935,13755.5,1138.636363636364,27568.78409090909,5939.670454545455
2015-04-01,62879.05216442636,12830.925,1150.454545454545,28827.275,6042.0875
2015-05-01,62865.928170524,13511.34210526316,1139.809523809524,30066.57894736842,6294.776315789474
2015-06-01,65774.04402044808,12825.22727272727,1088.772727272727,30650.38636363636,5833.011363636364
